content_type,title,release_year,genres,imdb_rating,runtime,age_rating,production_country,streaming_service,url
movie,Ne Zha(2019),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 8 A.M. Metro, Amazon Prime Video, Animal Farm, Apple TV, Avatar: Fire and Ash",https://www.justwatch.com/in/movie/ne-zha
movie,Zootopia 2(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 4K Fireplace, A Single Man, All Dogs Go to Heaven, Anaconda, Andy Samberg",https://www.justwatch.com/in/movie/zootopia-2
movie,Taya(2021),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, A Good Lawyer's Wife, AJ Raval, Alener Ferrer, American Kamasutra, Angeli Khang",https://www.justwatch.com/in/movie/taya-2021
movie,F1(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, Abdul Salis, Ad Astra, Anthony, Apple TV, Apple TV Amazon Channel",https://www.justwatch.com/in/movie/f1
movie,Ek Deewane Ki Deewaniyat(2025),,Not Available,,Not Available,Not Available,Not Available,"120 Bahadur, 1971: Beyond Borders, 28 Years Later: The Bone Temple, 7:11 PM, Anaamika, Ananth Narayan Mahadevan",https://www.justwatch.com/in/movie/ek-deewane-ki-deewaniyat
movie,Hamnet(2025),,Not Available,,Not Available,Not Available,Not Available,"""Wuthering Heights"", 28 Years Later: The Bone Temple, A Christmas Carol, Animal Farm, Anthony, Apple TV",https://www.justwatch.com/in/movie/hamnet
movie,Nay Varan Bhat Loncha Kon Nai Koncha(2022),,Not Available,,Not Available,Not Available,Not Available,"10 Rillington Place, 28 Years Later: The Bone Temple, Aankhen, Aatmapamphlet, Aattam, Anthony",https://www.justwatch.com/in/movie/nay-varan-bhat-loncha-kon-nai-koncha
movie,Avatar: Fire and Ash(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 4K Fireplace, Anaconda, Andor, Animal Farm, Apple TV",https://www.justwatch.com/in/movie/avatar-3
movie,Salamat daks(2023),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 53 Sundays, 7 donne e un mistero, Alma Moreno, American Kamasutra, Andakagasam",https://www.justwatch.com/in/movie/salamat-daks
movie,The Kamasutra Garden(2020),,Not Available,,Not Available,Not Available,Not Available,"12 Steps to Recovery, 28 Years Later: The Bone Temple, A.V. Anoop, Alexander G Carpenter, Alexandra Morgan, American Kamasutra",https://www.justwatch.com/in/movie/the-kamasutra-garden
movie,Sinners(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later, 28 Years Later: The Bone Temple, A Journal for Jordan, Abandoned Dead, Amazon Video, An Affair to Die For",https://www.justwatch.com/in/movie/sinners-2025
movie,Rental Family(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 37 Seconds, 8 Women, A Case of You, A Christmas Carol, Akira Emoto",https://www.justwatch.com/in/movie/rental-family
movie,Mourning Wife(2001),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, A Lonely Cow Weeps at Dawn, American Kamasutra, American Skin, Anthony, Apple TV",https://www.justwatch.com/in/movie/mourning-wife
movie,Ne Zha 2(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later, 28 Years Later: The Bone Temple, Animal Farm, Apple TV, Apple TV Store, Arcane: League of Legends",https://www.justwatch.com/in/movie/ne-zha-2
movie,Thalaivar Thambi Thalaimaiyil(2026),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 365 Days: This Day, 4K Fireplace, 53 Sundays, Adrishya, Aflatoon",https://www.justwatch.com/in/movie/thalaivar-thambi-thalaimaiyil
movie,Bone Lake(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, After the Hunt, Alex Roe, Amazon Prime Video, Amazon Prime Video with Ads, Andra Nechita",https://www.justwatch.com/in/movie/bone-lake
movie,My Body Is Not Obscene(2021),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, American Kamasutra, Apple TV, Autumn Gonzalez, Avatar: Fire and Ash, Avengers: Doomsday",https://www.justwatch.com/in/movie/my-body-is-not-obscene
movie,Bugonia(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, Aiecia Harper, Alicia Silverstone, Alps, Amazon Video, Apple TV",https://www.justwatch.com/in/movie/bugonia
movie,Chatha Pacha(2026),,Not Available,,Not Available,Not Available,Not Available,"1918, 28 Years Later: The Bone Temple, 53 Sundays, A Father's Miracle, Abhilasham, Anaconda",https://www.justwatch.com/in/movie/chatha-pacha-the-ring-of-rowdies
movie,Girl Play(2004),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 53 Sundays, American Kamasutra, Andakagasam, Apple TV, Avatar: Fire and Ash",https://www.justwatch.com/in/movie/girl-play
movie,Wet Woman in the Wind(2016),,Not Available,,Not Available,Not Available,Not Available,"13 Assassins, 28 Years Later: The Bone Temple, All About Lily Chou-Chou, Anthony, Antiporno, Apple TV",https://www.justwatch.com/in/movie/wet-woman-in-the-wind
movie,The Conjuring: Last Rites(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, Amazon Video, Andakagasam, Annabelle, Annabelle Comes Home, Apple TV",https://www.justwatch.com/in/movie/the-conjuring-last-rites
movie,Lie with Me(2005),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, American Kamasutra, Anthony, Apple TV, Art School Confidential, Avatar: Fire and Ash",https://www.justwatch.com/in/movie/lie-with-me
movie,Assi(2026),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, 7:11 PM, Abhishant Rana, Akanksha Chowdhury, Anek, Apple TV",https://www.justwatch.com/in/movie/assi-2026
movie,The Wolf of Wall Street(2013),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, A Christmas Carol, After Hours, Air, Alpha Dog, Amazon Video",https://www.justwatch.com/in/movie/the-wolf-of-wall-street
movie,Weapons(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later, 28 Years Later: The Bone Temple, A Farewell to Ozark, A House of Dynamite, Alden Ehrenreich, Ali Burch",https://www.justwatch.com/in/movie/weapons-2025
movie,Nuremberg(2025),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, A Good Year, A War Over Reality, Amazon Prime Video, Amazon Prime Video with Ads, Amazon Video",https://www.justwatch.com/in/movie/nuremberg
movie,I Remember You(2015),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, Apple TV, Avatar: Fire and Ash, Avengers: Doomsday, Avengers: Secret Wars, Awarapan 2",https://www.justwatch.com/in/movie/i-remember-you
movie,Pabuya(2023),,Not Available,,Not Available,Not Available,Not Available,"28 Years Later: The Bone Temple, A Dark Truth, Aakhree Raasta, Aivy Rodriguez, American Kamasutra, Andrea Garcia",https://www.justwatch.com/in/movie/pabuya
